sample name :	CNTRL_160_s1_SNV
date of analysis :	17/09/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	150152437
total number of reads excluded due to non-common CIGAR:	969536
total number of SSCS consensus reads (read 1 and read 2 separate):	10815054
total number of unpaired SSCS reads:	65958
total number of SSCS pairs:	5374548

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3362261	0.21913675294392457
2	1165894	0.07598762423167148
3	1150087	0.07495739646119662
4	1136361	0.074062798727437
5	1044820	0.0680965761464893
6	897118	0.058470037134995684
7	736940	0.04803036965735134
8	589611	0.038428141075312214
9	470800	0.03068458495220915
10	383302	0.024981866570415616
11	321893	0.020979509566740568
12	280730	0.018296693996673056
13	249871	0.016285445893359073
14	227171	0.014805963993581786
15	209824	0.013675366085412772
16	197140	0.012848681133131928
17	185647	0.012099620099028827
18	174481	0.01137187142533221
19	164894	0.010747034730479133
20	155062	0.010106230059174715
21	146273	0.009533403344763146
22	137932	0.0089897752158626
23	130537	0.008507803028688457
24	122836	0.00800588716480366
25	116066	0.007564649611433958
26	109874	0.007161083447406602
27	102276	0.006665880651172776
28	95842	0.006246542036936341
29	90301	0.005885405067479691
30	84147	0.005484315569187645
31	79506	0.00518183647240939
32	74438	0.00485152747381594
33	69727	0.004544486098051587
34	65080	0.0042416159487888095
35	60586	0.003948717637881359
36	56402	0.0036760237053409103
37	53003	0.0034544924728588393
38	49137	0.0032025243219980905
39	46055	0.003001653695781632
40	42441	0.002766109749270834
41	39220	0.0025561797404962676
42	36563	0.0023830086652668293
43	34131	0.0022245020582069893
44	31131	0.0020289758159456736
45	28570	0.001862061580468597
46	27003	0.001759931706594103
47	24814	0.0016172627251574295
48	22740	0.0014820889163407733
49	21450	0.0013980126321684076
50	19723	0.0012854546920399769
51	18036	0.0011755037684750302
52	16796	0.0010946862550070197
53	15536	0.001012565233257267
54	14447	0.0009415892073164095
55	13084	0.000852755117915685
56	11853	0.0007725241831744585
57	11028	0.0007187544665525966
58	10313	0.0006721540454803165
59	9293	0.000605675123111469
60	8594	0.0005601175086645825
61	7913	0.0005157330516712638
62	7204	0.0004695236830835062
63	6548	0.00042676861144236517
64	5980	0.0003897489762408894
65	5426	0.00035364179683663305
66	5168	0.00033682654000215993
67	4665	0.000304043306716346
68	4195	0.0002734108620954065
69	3852	0.0002510556950635294
70	3529	0.00023000403631339442
71	3223	0.00021006035960274022
72	2956	0.0001926585240414831
73	2765	0.000180210019950846
74	2654	0.00017297554898717732
75	2395	0.00015609511673861707
76	2142	0.00013960573697457943
77	1954	0.00012735275912620364
78	1757	0.00011451320255104392
79	1620	0.0001055841708211105
80	1441	9.391777169951866e-05
81	1289	8.401110875827866e-05
82	1294	8.43369858287142e-05
83	1059	6.902076351824445e-05
84	986	6.426295828988577e-05
85	941	6.133006465596603e-05
86	766	4.9924367190722616e-05
87	754	4.914226222167735e-05
88	672	4.379787826653473e-05
89	698	4.549243903279946e-05
90	603	3.9300774694524466e-05
91	523	3.4086741567556045e-05
92	470	3.0632444620939466e-05
93	450	2.932893633919736e-05
94	359	2.3397973657270782e-05
95	348	2.2681044102312624e-05
96	380	2.4766657353099992e-05
97	346	2.2550693274138417e-05
98	277	1.8053589702128154e-05
99	267	1.74018355612571e-05
100	206	1.342613530194368e-05
101	188	1.2252977848375786e-05
102	205	1.3360959887856575e-05
103	143	9.32008421445605e-06
104	161	1.0493241668023945e-05
105	137	8.929031729933419e-06
106	121	7.886225104539735e-06
107	122	7.95140051862684e-06
108	114	7.429997205929998e-06
109	107	6.973769307320261e-06
110	98	6.387190580536314e-06
111	102	6.647892236884735e-06
112	108	7.0389447214073665e-06
113	58	3.7801740170521043e-06
114	63	4.106051087487631e-06
115	68	4.431928157923157e-06
116	44	2.8677182198326306e-06
117	46	2.998069048006841e-06
118	52	3.3891215325294727e-06
119	34	2.2159640789615785e-06
120	39	2.5418411493971048e-06
121	52	3.3891215325294727e-06
122	24	1.5642099380905258e-06
123	20	1.303508281742105e-06
124	17	1.1079820394807892e-06
125	26	1.6945607662647364e-06
126	33	2.150788664874473e-06
127	17	1.1079820394807892e-06
128	9	5.865787267839472e-07
129	24	1.5642099380905258e-06
130	15	9.776312113065787e-07
131	19	1.2383328676549997e-06
132	14	9.124557972194734e-07
133	20	1.303508281742105e-06
134	10	6.517541408710525e-07
135	14	9.124557972194734e-07
136	12	7.821049690452629e-07
137	6	3.9105248452263146e-07
138	3	1.9552624226131573e-07
139	11	7.169295549581577e-07
140	7	4.562278986097367e-07
141	6	3.9105248452263146e-07
142	4	2.60701656348421e-07
143	4	2.60701656348421e-07
144	3	1.9552624226131573e-07
145	6	3.9105248452263146e-07
146	13	8.472803831323682e-07
