sample name :	Myeloid_10A_SNV
date of analysis :	20/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	111720756
total number of reads excluded due to non-common CIGAR:	635667
total number of SSCS consensus reads (read 1 and read 2 separate):	12826965
total number of unpaired SSCS reads:	60301
total number of SSCS pairs:	6383332

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3931209	0.205283532347513
2	2391969	0.12490606467011761
3	2222500	0.1160565746167013
4	1919115	0.10021413417121741
5	1558102	0.08136242115789945
6	1226845	0.0640645346616994
7	969594	0.05063116238870906
8	773991	0.04041698278702149
9	633441	0.033077612005299385
10	529104	0.027629245379525363
11	443438	0.023155858418394057
12	378966	0.0197891994853511
13	324240	0.016931466255891665
14	277191	0.014474617761339955
15	237621	0.012408314653316165
16	202691	0.010584307386111947
17	173838	0.00907763456387767
18	148207	0.007739211138005601
19	125536	0.006555355748518432
20	107442	0.005610506407184531
21	90211	0.004710722003485822
22	77075	0.004024774123096627
23	65202	0.003404778752827068
24	55267	0.0028859836712446484
25	46947	0.002451522163568178
26	38945	0.002033666276016842
27	32614	0.0017030682225192783
28	27506	0.001436333921892907
29	22851	0.0011932547971051704
30	19549	0.0010208278862460713
31	16530	0.0008631789329197176
32	13894	0.0007255298302472206
33	11383	0.0005944080939761129
34	9751	0.0005091867982395745
35	8029	0.00041926579869403587
36	6900	0.00036031062535668795
37	5383	0.0002810945067094277
38	4623	0.00024140811898898092
39	3901	0.00020370605065455648
40	3079	0.0001607820891990206
41	2724	0.00014224436861907507
42	2225	0.00011618712194472909
43	1829	9.550842518512786e-05
44	1433	7.482972842552664e-05
45	1294	6.757129698718176e-05
46	994	5.190561762384751e-05
47	830	4.334171290522478e-05
48	725	3.785872512805779e-05
49	615	3.211464269483523e-05
50	455	2.3759613701056957e-05
51	427	2.229748362714576e-05
52	329	1.718002836845657e-05
53	321	1.6762276918767657e-05
54	225	1.1749259522500694e-05
55	197	1.0287129448589495e-05
56	146	7.623963956822673e-06
57	129	6.736242126233731e-06
58	94	4.908579533844734e-06
59	64	3.3420115975113084e-06
60	73	3.8119819784113363e-06
61	61	3.185354803877966e-06
62	48	2.5065086981334814e-06
63	40	2.088757248444568e-06
64	38	1.9843193860223392e-06
65	35	1.8276625923889968e-06
66	25	1.3054732802778549e-06
67	13	6.788461057444845e-07
68	16	8.355028993778271e-07
69	6	3.133135872666852e-07
70	6	3.133135872666852e-07
71	9	4.6997038090002774e-07
72	7	3.6553251847779937e-07
73	4	2.0887572484445678e-07
74	5	2.61094656055571e-07
75	4	2.0887572484445678e-07
76	2	1.0443786242222839e-07
77	1	5.2218931211114194e-08
78	3	1.566567936333426e-07
79	4	2.0887572484445678e-07
81	1	5.2218931211114194e-08
85	1	5.2218931211114194e-08
87	3	1.566567936333426e-07
89	2	1.0443786242222839e-07
