sample name :	C92_016_s5_SNV
date of analysis :	20/06/2021
produced from code:	Watson_code_SSCS_calling: version 1.8
produced from function:	SSCS_calling_BAM_and_fastq
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	137934339
total number of reads excluded due to non-common CIGAR:	1007858
total number of SSCS consensus reads (read 1 and read 2 separate):	10909581
total number of unpaired SSCS reads:	91121
total number of SSCS pairs:	5409230

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	8550048	0.3618974341023392
2	4165982	0.17633330202550104
3	2777712	0.11757207041121603
4	1689108	0.0714947858914633
5	983682	0.041636256518402845
6	589810	0.024964856993539765
7	391211	0.01655876751716601
8	300190	0.012706126415100967
9	257082	0.010881496355797951
10	234411	0.009921902125621216
11	221452	0.009373387211022818
12	209772	0.00887900846246897
13	201143	0.008513769231195756
14	191714	0.008114668441802414
15	183695	0.007775248648595797
16	175934	0.00744674920788292
17	167055	0.0070709282396971655
18	159525	0.0067522063238914755
19	151176	0.006398818637960305
20	142426	0.006028457846021421
21	135850	0.005750115838273982
22	127898	0.005413531950559924
23	120313	0.005092482052633475
24	113203	0.00479153745484085
25	105437	0.004462826379389722
26	99923	0.00422943559004675
27	92897	0.003932046455856739
28	86957	0.0036806243868148
29	81445	0.0034473182513671285
30	75727	0.0032052927647035247
31	70509	0.0029844307518649992
32	65443	0.0027700024350692984
33	60716	0.002569922953527001
34	56215	0.002379409362153639
35	52402	0.002218016710763586
36	47699	0.0020189530759648923
37	44611	0.0018882474616212042
38	40371	0.0017087812035845337
39	37000	0.0015660970630558507
40	33833	0.0014320476198478
41	31095	0.001316156437181667
42	28688	0.0012142754741877363
43	25928	0.0010974530986733
44	23603	0.0009990429453866822
45	21525	0.0009110875481696536
46	19478	0.00082444428632978
47	17877	0.0007566788431418768
48	16332	0.0006912837090223826
49	14841	0.0006281742300759968
50	13419	0.0005679853105174719
51	11943	0.0005055107357858385
52	11025	0.00046665459784299337
53	9944	0.00042089916743317244
54	8771	0.00037124965783953695
55	8218	0.0003478428557889995
56	7446	0.0003151664522030774
57	6703	0.00028371753009900994
58	5926	0.00025082949177483705
59	5309	0.0002247137650746895
60	4707	0.0001992329425892943
61	4355	0.00018433385701643865
62	3930	0.00016634490426512143
63	3407	0.00014420791064408874
64	3107	0.0001315098263490413
65	2751	0.00011644143298558501
66	2595	0.00010983842915216034
67	2206	9.337324651624882e-05
68	1997	8.452691445736578e-05
69	1732	7.331027333007388e-05
70	1524	6.450626821884099e-05
71	1451	6.141640104037944e-05
72	1187	5.0242086860737696e-05
73	1216	5.1469568342592286e-05
74	1039	4.3977698608514296e-05
75	879	3.7205386984488996e-05
76	828	3.504671265433093e-05
77	711	3.009445977926243e-05
78	672	2.8443708820906262e-05
79	545	2.3068186469336178e-05
80	552	2.3364475102887288e-05
81	548	2.3195167312286652e-05
82	402	1.7015432955363566e-05
83	365	1.5449335892307716e-05
84	293	1.2401795661496331e-05
85	313	1.3248334614499494e-05
86	270	1.1428275865542694e-05
87	244	1.0327775226638583e-05
88	190	8.042120053530045e-06
89	198	8.38073563473131e-06
90	195	8.253754791780835e-06
91	127	5.375522351570082e-06
92	130	5.5025031945205566e-06
93	120	5.079233718018975e-06
94	122	5.163887613319291e-06
95	125	5.290868456269766e-06
96	99	4.190367817365655e-06
97	93	3.936406131464706e-06
98	75	3.1745210737618595e-06
99	72	3.0475402308113852e-06
100	66	2.7935785449104362e-06
101	55	2.327982120758697e-06
102	29	1.2274814818545857e-06
103	40	1.693077906006325e-06
104	32	1.3544623248050602e-06
105	40	1.693077906006325e-06
106	37	1.5660970630558508e-06
107	24	1.015846743603795e-06
108	34	1.4391162201053763e-06
109	19	8.042120053530045e-07
110	29	1.2274814818545857e-06
111	19	8.042120053530045e-07
112	14	5.925772671022138e-07
113	9	3.8094252885142315e-07
114	19	8.042120053530045e-07
115	5	2.1163473825079063e-07
116	8	3.3861558120126504e-07
117	10	4.2326947650158126e-07
118	14	5.925772671022138e-07
119	11	4.6559642415173937e-07
120	14	5.925772671022138e-07
121	13	5.502503194520557e-07
122	3	1.2698084295047438e-07
123	4	1.6930779060063252e-07
124	13	5.502503194520557e-07
125	1	4.232694765015813e-08
126	4	1.6930779060063252e-07
128	2	8.465389530031626e-08
129	1	4.232694765015813e-08
131	1	4.232694765015813e-08
132	1	4.232694765015813e-08
133	4	1.6930779060063252e-07
139	3	1.2698084295047438e-07
141	3	1.2698084295047438e-07
143	2	8.465389530031626e-08
145	2	8.465389530031626e-08
152	2	8.465389530031626e-08
158	2	8.465389530031626e-08
163	2	8.465389530031626e-08
