sample name :	C92_034_s4_SNV
date of analysis :	07/09/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	153455509
total number of reads excluded due to non-common CIGAR:	1070423
total number of SSCS consensus reads (read 1 and read 2 separate):	18751750
total number of unpaired SSCS reads:	127132
total number of SSCS pairs:	9312309

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	7049039	0.23496687015460593
2	4199351	0.13997771343733728
3	3799378	0.12664534232173583
4	3151669	0.10505514307599897
5	2434920	0.08116362123643422
6	1820181	0.06067241686205464
7	1366762	0.04555852072690327
8	1051021	0.035033869841940735
9	834594	0.027819670174872517
10	681164	0.022705360708316694
11	567344	0.018911378413567402
12	476627	0.015887492525034883
13	404052	0.013468337147759976
14	341488	0.011382880213225671
15	290791	0.00969298809938887
16	245257	0.008175195182422481
17	207544	0.006918101048861772
18	175390	0.005846306050571764
19	149240	0.004974643451663892
20	124213	0.00414041401140128
21	104328	0.003477583771275734
22	87558	0.002918586379930227
23	73654	0.0024551218760979114
24	61321	0.0020440237945556256
25	51710	0.0017236586229264262
26	42803	0.0014267600084532938
27	35668	0.00118892778500367
28	29636	0.0009878620566437357
29	24376	0.0008125295415288062
30	20498	0.0006832634781037688
31	16974	0.0005657973596123218
32	14230	0.00047433111978810764
33	11651	0.0003883648542973466
34	9892	0.0003297317945849586
35	8101	0.0002700320731836585
36	6624	0.00022079896960480852
37	5551	0.00018503246984847405
38	4422	0.00014739931213654335
39	3898	0.00012993272698060742
40	3001	0.00010003286651328961
41	2468	8.226628275734713e-05
42	2110	7.03330051126428e-05
43	1701	5.6699735401234795e-05
44	1346	4.486645728986598e-05
45	1100	3.666649555635407e-05
46	991	3.303317917849717e-05
47	811	2.70332071783665e-05
48	641	2.1366566956020873e-05
49	471	1.5699926733675243e-05
50	428	1.4266600089199584e-05
51	384	1.279994026694542e-05
52	319	1.0633283711342681e-05
53	256	8.533293511296947e-06
54	176	5.866639289016651e-06
55	173	5.76663975568114e-06
56	150	4.999976666775555e-06
57	104	3.466650488964385e-06
58	104	3.466650488964385e-06
59	78	2.5999878667232885e-06
60	79	2.6333210445017924e-06
61	53	1.7666584222606961e-06
62	53	1.7666584222606961e-06
63	23	7.666630889055851e-07
64	34	1.133328044469126e-06
65	32	1.0666616889121184e-06
66	26	8.666626222410962e-07
67	12	3.999981333420444e-07
68	18	5.999972000130666e-07
69	14	4.666644888990518e-07
70	10	3.33331777785037e-07
71	6	1.999990666710222e-07
72	10	3.33331777785037e-07
73	6	1.999990666710222e-07
74	4	1.333327111140148e-07
75	8	2.666654222280296e-07
76	1	3.33331777785037e-08
77	4	1.333327111140148e-07
78	4	1.333327111140148e-07
79	2	6.66663555570074e-08
80	4	1.333327111140148e-07
82	2	6.66663555570074e-08
86	1	3.33331777785037e-08
102	2	6.66663555570074e-08
