sample name :	C92_072_s2_SNV
date of analysis :	25/06/2021
produced from code:	Watson_code_SSCS_calling: version 1.8
produced from function:	SSCS_calling_BAM_and_fastq
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	261339154
total number of reads excluded due to non-common CIGAR:	1847639
total number of SSCS consensus reads (read 1 and read 2 separate):	35919559
total number of unpaired SSCS reads:	352407
total number of SSCS pairs:	17783576

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	38695304	0.39314056934150654
2	23811265	0.24192016371912953
3	14642383	0.14876520388976391
4	8360609	0.08494298383860026
5	4635914	0.04710044064722327
6	2616599	0.026584394338869045
7	1552934	0.01577766017576146
8	1003052	0.010190911909081703
9	694115	0.007052141683354648
10	511027	0.005191985201327843
11	391176	0.003974310561114423
12	306994	0.0031190295324834885
13	242682	0.0024656257939964883
14	193716	0.0019681359404892977
15	153704	0.0015616178663454077
16	122751	0.001247138361472474
17	97407	0.0009896457574761043
18	78108	0.0007935697724490391
19	62654	0.000636558617849927
20	49812	0.0005060851321917286
21	39519	0.0004015092415298507
22	31926	0.0003243650913505406
23	25301	0.00025705572812942515
24	20477	0.00020804435180057067
25	16444	0.00016706945944272033
26	13612	0.00013829661164767144
27	10646	0.00010816233673237659
28	8644	8.782220915974669e-05
29	6910	7.02049358276087e-05
30	5618	5.707834001150589e-05
31	4577	4.6501880069893637e-05
32	3825	3.886163235030438e-05
33	3166	3.216625569178135e-05
34	2479	2.5186401724550214e-05
35	2074	2.107164065216504e-05
36	1584	1.609328774977311e-05
37	1306	1.3268834470456868e-05
38	1037	1.053582032608252e-05
39	868	8.818796569951426e-06
40	664	6.746176177935192e-06
41	572	5.8114650207514e-06
42	472	4.795474632508149e-06
43	383	3.891243186971654e-06
44	329	3.3426083773202985e-06
45	290	2.9463721259054302e-06
46	175	1.7779831794256906e-06
47	169	1.7170237561310955e-06
48	151	1.5341454862473102e-06
49	125	1.2699879853040648e-06
50	87	8.839116377716291e-07
51	68	6.908734640054113e-07
52	79	8.02632406712169e-07
53	45	4.5719567470946333e-07
54	42	4.267159630621658e-07
55	48	4.876753863567608e-07
56	31	3.149570203554081e-07
57	26	2.641575009432455e-07
58	32	3.251169242378406e-07
59	15	1.5239855823648779e-07
60	24	2.438376931783804e-07
61	17	1.7271836600135282e-07
62	11	1.117589427067577e-07
63	20	2.0319807764865037e-07
64	2	2.0319807764865038e-08
65	6	6.09594232945951e-08
66	5	5.079951941216259e-08
67	2	2.0319807764865038e-08
68	2	2.0319807764865038e-08
69	7	7.111932717702763e-08
70	1	1.0159903882432519e-08
71	4	4.0639615529730076e-08
74	1	1.0159903882432519e-08
80	1	1.0159903882432519e-08
81	1	1.0159903882432519e-08
83	2	2.0319807764865038e-08
