sample name :	CNTRL_189_s4_SNV
date of analysis :	24/06/2021
produced from code:	Watson_code_SSCS_calling: version 1.8
produced from function:	SSCS_calling_BAM_and_fastq
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	70669861
total number of reads excluded due to non-common CIGAR:	450452
total number of SSCS consensus reads (read 1 and read 2 separate):	8824225
total number of unpaired SSCS reads:	83713
total number of SSCS pairs:	4370256

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	11875265	0.43667073481495317
2	6495520	0.23884970073553935
3	3604051	0.13252618770870098
4	1922870	0.07070672156399281
5	1037540	0.03815185212287107
6	593904	0.021838712322591533
7	375365	0.013802716012974439
8	261782	0.009626104200733884
9	196581	0.007228568770520768
10	153709	0.005652103088029752
11	123997	0.004559549711509575
12	100939	0.003711673575409606
13	82405	0.003030151487350069
14	68463	0.002517483906054824
15	55385	0.002036586859133348
16	44900	0.001651038186785002
17	37231	0.001369037922765978
18	30289	0.0011137705042211787
19	24248	0.0008916341637675441
20	19978	0.0007346200644897722
21	16473	0.0006057361258554419
22	13245	0.00048703787937566485
23	10969	0.0004033460550299485
24	8819	0.00032428743361374016
25	7338	0.00026982891346611016
26	5930	0.00021805470930144906
27	4724	0.0001737083384047294
28	3974	0.0001461297495386102
29	3386	0.00012450813586757276
30	2685	9.873134814070669e-05
31	2243	8.247836643560712e-05
32	1782	6.55267271458992e-05
33	1473	5.4164348533058085e-05
34	1257	4.622171493961576e-05
35	1036	3.8095224087065974e-05
36	827	3.0409990656374092e-05
37	689	2.5335530305008162e-05
38	611	2.2467357062931766e-05
39	460	1.6914867837886434e-05
40	421	1.5480781216848238e-05
41	324	1.1913950390163489e-05
42	308	1.1325607161019613e-05
43	282	1.0369549413660815e-05
44	235	8.64129117805068e-06
45	146	5.368631965937869e-06
46	135	4.964145995901454e-06
47	133	4.89060309225847e-06
48	108	3.971316796721163e-06
49	89	3.2726592121128103e-06
50	89	3.2726592121128103e-06
51	69	2.5372301756829655e-06
52	34	1.2502293619307365e-06
53	42	1.5444009765026746e-06
54	42	1.5444009765026746e-06
55	36	1.323772265573721e-06
56	19	6.986575846083528e-07
57	25	9.192862955373063e-07
58	18	6.618861327868605e-07
59	11	4.044859700364148e-07
60	17	6.251146809653683e-07
61	14	5.148003255008915e-07
62	13	4.780288736793992e-07
63	5	1.8385725910746126e-07
64	7	2.5740016275044575e-07
65	1	3.677145182149225e-08
66	13	4.780288736793992e-07
67	5	1.8385725910746126e-07
68	8	2.94171614571938e-07
69	2	7.35429036429845e-08
71	4	1.47085807285969e-07
72	2	7.35429036429845e-08
73	2	7.35429036429845e-08
74	4	1.47085807285969e-07
78	2	7.35429036429845e-08
80	2	7.35429036429845e-08
