sample name :	C92_005_s6_SNV
date of analysis :	12/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	152464269
total number of reads excluded due to non-common CIGAR:	1192772
total number of SSCS consensus reads (read 1 and read 2 separate):	14600629
total number of unpaired SSCS reads:	104153
total number of SSCS pairs:	7248238

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	5055066	0.2305404298786347
2	2271331	0.10358591265409181
3	2196160	0.10015767756192746
4	2029593	0.0925612529487583
5	1730869	0.07893769998722125
6	1384204	0.06312775841101297
7	1063379	0.0484962712225543
8	811254	0.03699790386530303
9	629174	0.02869399616710447
10	502960	0.022937903206754987
11	419328	0.019123797271914576
12	359952	0.016415906106008175
13	319730	0.014581548815603173
14	289344	0.013195770370318346
15	262129	0.01195460798012462
16	239876	0.010939741668569189
17	218304	0.009955932920406078
18	200583	0.009147752184906426
19	183180	0.008354074100153847
20	167687	0.007647503131523628
21	152471	0.006953564975022149
22	140384	0.006402327429173477
23	127284	0.005804891187705984
24	115700	0.005276593369296867
25	104912	0.004784597783575392
26	95127	0.004338344835273147
27	85865	0.003915943730809641
28	78532	0.003581516253047723
29	70786	0.003228253571642593
30	64530	0.0029429435619768955
31	57386	0.002617135584187295
32	52209	0.0023810342542577366
33	46975	0.0021423333925904954
34	42273	0.0019278948271416287
35	37772	0.0017226230315045916
36	34112	0.0015557057304533685
37	30764	0.0014030174452294626
38	27808	0.0012682066414296221
39	24581	0.0011210366604207976
40	22082	0.0010070677163423803
41	19483	0.0008885381902680281
42	17888	0.0008157969074328639
43	15581	0.000710584280786642
44	14086	0.0006424035799474128
45	12679	0.0005782361912646066
46	11286	0.0005147072840612311
47	10255	0.0004676876836831406
48	8871	0.00040456922885939934
49	7861	0.0003585073507004552
50	6923	0.00031572909157858434
51	6326	0.000288502417062852
52	5829	0.0002658363245430548
53	5073	0.0002313583246537857
54	4520	0.0002061383062162648
55	3903	0.00017799951530134546
56	3411	0.00015556145188134498
57	3075	0.00014023789637500315
58	2786	0.00012705781440675083
59	2469	0.00011260076947963668
60	2148	9.796130127268514e-05
61	2032	9.267102615740046e-05
62	1677	7.6480960071831e-05
63	1456	6.64020738608145e-05
64	1406	6.412178286284697e-05
65	1144	5.217305803349711e-05
66	998	4.551460831943192e-05
67	936	4.268704748195218e-05
68	837	3.817207130597647e-05
69	702	3.201528561146414e-05
70	636	2.9005301494146995e-05
71	507	2.3122150719390764e-05
72	547	2.494638351776479e-05
73	466	2.125231210105739e-05
74	443	2.0203378241992326e-05
75	374	1.7056576664797132e-05
76	311	1.4183410007358043e-05
77	279	1.2724023768658823e-05
78	267	1.2176753929146616e-05
79	235	1.0717367690447396e-05
80	198	9.029952351951423e-06
81	142	6.476026434227788e-06
82	154	7.023296273739996e-06
83	94	4.286947076178958e-06
84	95	4.332552896138309e-06
85	111	5.062246015487919e-06
86	108	4.925428555609867e-06
87	94	4.286947076178958e-06
88	70	3.1924073971545435e-06
89	79	3.602859776788699e-06
90	56	2.5539259177236348e-06
91	58	2.645137557642336e-06
92	41	1.8698386183333754e-06
93	42	1.915444438292726e-06
94	29	1.322568778821168e-06
95	32	1.4593862386992198e-06
96	22	1.0033280391057137e-06
97	21	9.57722219146363e-07
98	28	1.2769629588618174e-06
99	20	9.121163991870124e-07
100	17	7.752989393089605e-07
101	12	5.472698395122075e-07
102	22	1.0033280391057137e-06
103	17	7.752989393089605e-07
104	15	6.840872993902593e-07
105	11	5.016640195528568e-07
106	5	2.280290997967531e-07
107	9	4.104523796341556e-07
108	9	4.104523796341556e-07
109	6	2.7363491975610375e-07
110	5	2.280290997967531e-07
111	11	5.016640195528568e-07
112	5	2.280290997967531e-07
113	3	1.3681745987805187e-07
114	5	2.280290997967531e-07
116	2	9.121163991870124e-08
118	2	9.121163991870124e-08
119	2	9.121163991870124e-08
120	3	1.3681745987805187e-07
121	3	1.3681745987805187e-07
123	2	9.121163991870124e-08
137	2	9.121163991870124e-08
138	1	4.560581995935062e-08
139	1	4.560581995935062e-08
