sample name :	CNTRL_196_s1_SNV
date of analysis :	15/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	177624530
total number of reads excluded due to non-common CIGAR:	1361943
total number of SSCS consensus reads (read 1 and read 2 separate):	14895184
total number of unpaired SSCS reads:	112252
total number of SSCS pairs:	7391466

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	5180766	0.23343408264507495
2	2117750	0.09542122313990006
3	2033665	0.09163253535913345
4	1923958	0.08668937581385709
5	1686714	0.07599967558361156
6	1384785	0.06239540950810365
7	1082196	0.0487614052636559
8	823934	0.03712467952617184
9	626267	0.028218233102186657
10	488924	0.022029855319302325
11	395154	0.017804782438259507
12	334955	0.015092346026124531
13	292983	0.013201178712877978
14	264350	0.011911037817038169
15	243172	0.010956803056723304
16	227936	0.010270301932530403
17	211750	0.00954099586819683
18	199670	0.00899669726093441
19	187245	0.008436853701726166
20	176085	0.007934008299652604
21	165127	0.007440264579587901
22	155122	0.006989460973159049
23	145780	0.006568530709165214
24	135736	0.0061159698472990085
25	127145	0.0057288780149321655
26	119489	0.0053839152552300875
27	110735	0.00498947899629174
28	104372	0.004702776013012702
29	96909	0.004366509414833939
30	89885	0.004050023204783339
31	83930	0.0037817038168489257
32	77681	0.0035001374263867674
33	72608	0.0032715590460355866
34	67380	0.0030359967017667177
35	62231	0.0028039939262042833
36	58056	0.002615877478743968
37	52884	0.002382838373051812
38	49176	0.002215763933008016
39	44885	0.0020224207770673658
40	41378	0.001864402961200701
41	38530	0.0017360782564421434
42	35179	0.0015850894623248941
43	32557	0.0014669478275366433
44	29759	0.0013408760143644367
45	27385	0.0012339087218444873
46	25154	0.001133384699261502
47	23197	0.0010452065225717208
48	21072	0.0009494586301517998
49	19565	0.0008815564777391782
50	17938	0.0008082473855193141
51	16659	0.0007506184187404533
52	14973	0.0006746509144486949
53	13623	0.0006138228416172157
54	12421	0.0005596633278813356
55	11369	0.000512262488904509
56	10313	0.0004646814186007741
57	9393	0.00042322821341191417
58	8711	0.00039249877217408544
59	7903	0.00035609204413865195
60	7161	0.0003226591329972019
61	6552	0.0002952189134754457
62	5743	0.00025876712760828524
63	5216	0.00023502165028814484
64	4919	0.00022163947426521942
65	4308	0.00019410913908000918
66	4047	0.00018234904499925654
67	3696	0.00016653374606307196
68	3289	0.00014819520855017415
69	2892	0.00013030724935454656
70	2638	0.00011886256009588307
71	2360	0.00010633648287577105
72	2146	9.669410688618842e-05
73	1939	8.736713571869494e-05
74	1773	7.988753565200935e-05
75	1612	7.263322474395887e-05
76	1455	6.555914516281647e-05
77	1268	5.713333062986343e-05
78	1149	5.1771448654347854e-05
79	1113	5.0149366712175075e-05
80	915	4.1227916030224794e-05
81	927	4.176861001094905e-05
82	856	3.8569503958330514e-05
83	714	3.2171291853093444e-05
84	610	2.7485277353483196e-05
85	629	2.8341376156296607e-05
86	493	2.2213511041421666e-05
87	443	1.9960619455070584e-05
88	446	2.0095792950251647e-05
89	382	1.7212091719722265e-05
90	324	1.4598737479555009e-05
91	334	1.5049315796825225e-05
92	307	1.3832754340195642e-05
93	291	1.3111829032563295e-05
94	221	9.957780811671782e-06
95	231	1.0408359128941997e-05
96	167	7.524657898412612e-06
97	151	6.803732590780267e-06
98	142	6.398212105237072e-06
99	120	5.406939807242596e-06
100	126	5.677286797604726e-06
101	117	5.271766312061531e-06
102	129	5.812460292785791e-06
103	80	3.6046265381617305e-06
104	92	4.1453205188859906e-06
105	80	3.6046265381617305e-06
106	62	2.793585567075341e-06
107	59	2.6584120718942763e-06
108	47	2.1177180911700166e-06
109	41	1.847371100807887e-06
110	36	1.6220819421727787e-06
111	40	1.8023132690808652e-06
112	32	1.4418506152646923e-06
113	31	1.3967927835376706e-06
114	19	8.56098802813411e-07
115	30	1.351734951810649e-06
116	22	9.91272297994476e-07
117	25	1.1264457931755407e-06
118	20	9.011566345404326e-07
119	14	6.308096441783029e-07
120	15	6.758674759053245e-07
121	12	5.406939807242596e-07
122	13	5.857518124512812e-07
123	12	5.406939807242596e-07
124	16	7.209253076323462e-07
125	9	4.0552048554319467e-07
127	5	2.2528915863510815e-07
128	6	2.703469903621298e-07
129	10	4.505783172702163e-07
130	5	2.2528915863510815e-07
131	9	4.0552048554319467e-07
132	3	1.351734951810649e-07
133	2	9.011566345404327e-08
134	1	4.5057831727021635e-08
135	1	4.5057831727021635e-08
136	1	4.5057831727021635e-08
137	1	4.5057831727021635e-08
138	1	4.5057831727021635e-08
139	2	9.011566345404327e-08
140	2	9.011566345404327e-08
142	2	9.011566345404327e-08
143	2	9.011566345404327e-08
145	2	9.011566345404327e-08
146	2	9.011566345404327e-08
147	1	4.5057831727021635e-08
148	3	1.351734951810649e-07
150	2	9.011566345404327e-08
152	1	4.5057831727021635e-08
155	1	4.5057831727021635e-08
156	2	9.011566345404327e-08
158	1	4.5057831727021635e-08
161	2	9.011566345404327e-08
162	1	4.5057831727021635e-08
166	1	4.5057831727021635e-08
169	1	4.5057831727021635e-08
