sample name :	CNTRL_179_s2_SNV
date of analysis :	09/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	115117249
total number of reads excluded due to non-common CIGAR:	808301
total number of SSCS consensus reads (read 1 and read 2 separate):	12990739
total number of unpaired SSCS reads:	99843
total number of SSCS pairs:	6445448

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	4752157	0.23394557243093714
2	2570192	0.1265288665120734
3	2343336	0.115360894414478
4	1986024	0.0977706589958159
5	1571489	0.07736337281658012
6	1208327	0.05948514573461209
7	933838	0.04597223228688814
8	741514	0.03650424790164843
9	605481	0.029807432528230076
10	507594	0.024988519716943085
11	433498	0.021340822232444424
12	373365	0.0183805140803801
13	321107	0.01580788701353531
14	281317	0.01384905140961335
15	242040	0.011915470459242829
16	209919	0.010334174695644502
17	180911	0.008906129880400262
18	154548	0.007608296680445632
19	133824	0.006588067752180269
20	114483	0.005635923006881081
21	97756	0.004812463767202702
22	84118	0.004141073971618692
23	71812	0.003535257662448959
24	61040	0.003004959167212784
25	52810	0.0025998016648182687
26	43984	0.0021653034733074557
27	37386	0.0018404882605736754
28	31654	0.0015583056598780058
29	26984	0.0013284046226747996
30	22533	0.0011092848118415084
31	18736	0.0009223609920854968
32	15666	0.0007712269055300701
33	13698	0.0006743435562333014
34	11179	0.0005503348383072037
35	9534	0.0004693525671724555
36	7984	0.0003930470837324192
37	6788	0.0003341687881232041
38	5698	0.0002805088029944044
39	4752	0.00023393784342390483
40	3946	0.00019425899203508594
41	3222	0.00015861694686696576
42	2846	0.00014010671346473762
43	2318	0.00011411361975097042
44	1904	9.373267127085749e-05
45	1722	8.477293063467258e-05
46	1350	6.645961460906387e-05
47	1110	5.464457201189696e-05
48	856	4.214031859656198e-05
49	759	3.7365072213540356e-05
50	638	3.140832157080204e-05
51	557	2.7420744694258206e-05
52	446	2.1956287493068507e-05
53	425	2.0922471265816404e-05
54	320	1.575339012955588e-05
55	280	1.3784216363361396e-05
56	208	1.0239703584211322e-05
57	172	8.467447194636286e-06
58	164	8.07361244139739e-06
59	125	6.153668019357766e-06
60	119	5.858291954428593e-06
61	81	3.9875768765438326e-06
62	94	4.62755835055704e-06
63	58	2.8553019609820033e-06
64	41	2.0184031103493474e-06
65	49	2.4122378635882442e-06
66	31	1.5261096688007259e-06
67	24	1.181504259716691e-06
68	29	1.4276509804910017e-06
69	24	1.181504259716691e-06
70	17	8.368988506326562e-07
71	15	7.384401623229319e-07
72	13	6.399814740132076e-07
73	4	1.969173766194485e-07
74	10	4.922934415486213e-07
75	4	1.969173766194485e-07
76	5	2.4614672077431065e-07
77	3	1.4768803246458638e-07
78	1	4.922934415486213e-08
79	2	9.845868830972426e-08
80	2	9.845868830972426e-08
81	6	2.9537606492917275e-07
82	2	9.845868830972426e-08
84	4	1.969173766194485e-07
87	1	4.922934415486213e-08
89	3	1.4768803246458638e-07
95	2	9.845868830972426e-08
