sample name :	C92_022_s1_SNV
date of analysis :	08/07/2021
produced from code:	Watson_code_SSCS_calling: version 1.8
produced from function:	SSCS_calling_BAM_and_fastq
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	139612427
total number of reads excluded due to non-common CIGAR:	978943
total number of SSCS consensus reads (read 1 and read 2 separate):	11413911
total number of unpaired SSCS reads:	44349
total number of SSCS pairs:	5684781

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3101480	0.20263285244933835
2	790518	0.05164789624712913
3	758568	0.04956046713723439
4	840715	0.054927479315341546
5	916987	0.05991065280735695
6	949109	0.06200931940729557
7	925744	0.0604827847859281
8	859207	0.056135640163547294
9	764898	0.04997403290454686
10	659865	0.04311178120815954
11	558132	0.03646513251842801
12	472879	0.03089519217708664
13	402831	0.026318659022472955
14	346303	0.022625444852703618
15	302576	0.01976857434602545
16	268121	0.01751748295380562
17	238493	0.015581759959503222
18	214327	0.014002892608338388
19	193355	0.012632702833918586
20	174598	0.011407228410935933
21	158548	0.010358613787655473
22	143121	0.00935070239866185
23	129097	0.00843445495461916
24	116417	0.007606016735105377
25	105261	0.006877147904119906
26	94019	0.006142660328112496
27	83985	0.005487096519389995
28	76509	0.0049986577079479564
29	69317	0.004528773821927205
30	61611	0.004025308134263702
31	55485	0.003625070552817216
32	49923	0.0032616814852355386
33	44946	0.0029365129506519344
34	40227	0.002628200651134147
35	36301	0.0023716984074581915
36	32454	0.0021203575690930867
37	29017	0.0018958037709488537
38	26296	0.0017180292918244843
39	23175	0.0015141211149236546
40	20778	0.0013575149309982177
41	18417	0.0012032607798726622
42	16609	0.0010851364659230627
43	15104	0.0009868084280391317
44	12994	0.000848953172268305
45	11929	0.0007793722019384801
46	10858	0.0007093992261420083
47	9373	0.0006123778731469004
48	8292	0.000541751554906017
49	7490	0.0004893534908642146
50	6568	0.00042911531748947415
51	5921	0.00038684406133605
52	5209	0.00034032607929395113
53	4687	0.00030622160369567073
54	4052	0.0002647343584755404
55	3753	0.0002451994193876365
56	3339	0.00021815104218900035
57	2930	0.00019142933621256992
58	2657	0.00017359308748013594
59	2397	0.0001566061839254369
60	1987	0.00012981914370456535
61	1874	0.00012243637408271537
62	1611	0.00010525346779469289
63	1491	9.741335846175486e-05
64	1274	8.323582741802529e-05
65	1155	7.546105232952842e-05
66	1027	6.70982690410612e-05
67	836	5.4619428352801526e-05
68	819	5.350874619730197e-05
69	710	4.63873135532166e-05
70	656	4.28592643533945e-05
71	526	3.436581257604498e-05
72	548	3.580316595375028e-05
73	391	2.5545689576489707e-05
74	371	2.4239004687666704e-05
75	274	1.790158297687514e-05
76	301	1.9665607576786194e-05
77	232	1.5157544710346834e-05
78	220	1.4373533777053032e-05
79	220	1.4373533777053032e-05
80	191	1.2478840688259678e-05
81	128	8.362783288467218e-06
82	161	1.0518813355025173e-05
83	129	8.42811753290837e-06
84	135	8.82012299955527e-06
85	93	6.076084733026963e-06
86	92	6.010750488585813e-06
87	91	5.945416244144663e-06
88	70	4.57339711088051e-06
89	58	3.7893861775867086e-06
90	52	3.3973807109398076e-06
91	42	2.7440382665283063e-06
92	49	3.201377977616357e-06
93	32	2.0906958221168046e-06
94	42	2.7440382665283063e-06
95	27	1.764024599911054e-06
96	30	1.9600273332345043e-06
97	21	1.3720191332641532e-06
98	19	1.2413506443818528e-06
99	11	7.186766888526517e-07
100	11	7.186766888526517e-07
101	16	1.0453479110584023e-06
102	22	1.4373533777053033e-06
103	12	7.840109332938017e-07
104	10	6.533424444115015e-07
105	6	3.9200546664690086e-07
106	1	6.533424444115014e-08
107	7	4.5733971108805104e-07
108	8	5.226739555292012e-07
109	3	1.9600273332345043e-07
110	6	3.9200546664690086e-07
111	8	5.226739555292012e-07
112	5	3.2667122220575075e-07
113	6	3.9200546664690086e-07
115	4	2.613369777646006e-07
116	5	3.2667122220575075e-07
118	2	1.306684888823003e-07
120	1	6.533424444115014e-08
122	2	1.306684888823003e-07
123	1	6.533424444115014e-08
126	1	6.533424444115014e-08
133	2	1.306684888823003e-07
148	2	1.306684888823003e-07
