sample name :	C92_008_s4_SNV
date of analysis :	23/09/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	94311181
total number of reads excluded due to non-common CIGAR:	661338
total number of SSCS consensus reads (read 1 and read 2 separate):	7868794
total number of unpaired SSCS reads:	51908
total number of SSCS pairs:	3908443

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	2663888	0.2325523616187617
2	922321	0.08051687109990281
3	925620	0.08080486753255324
4	923627	0.08063088241879988
5	852393	0.0744122895471961
6	731831	0.06388745598757155
7	594911	0.051934600104425986
8	469234	0.04096323676213791
9	369046	0.03221701469654788
10	295018	0.02575451093290853
11	241268	0.021062238045681872
12	205124	0.017906935511060103
13	179085	0.015633780279236942
14	159890	0.013958093245370604
15	145702	0.012719507799343222
16	134703	0.01175931599494125
17	124710	0.010886946079368116
18	114965	0.010036226092651394
19	107576	0.0093911804300706
20	99631	0.008697597023763328
21	92812	0.008102311278312192
22	86203	0.007525358133908826
23	79912	0.006976165785377795
24	73913	0.006452464482113187
25	68831	0.006008815536757171
26	63736	0.005564031716098198
27	59208	0.005168745918268201
28	54887	0.004791530827185292
29	50209	0.004383150314321175
30	46705	0.004077257771124111
31	43707	0.0038155380666421474
32	39984	0.0034905272394952667
33	36460	0.0031828887342936533
34	33636	0.0029363588992512703
35	31239	0.0027271053530060186
36	29090	0.0025395017356171796
37	26792	0.0023388907012944476
38	24303	0.002121605729828268
39	22034	0.0019235263404121326
40	20295	0.0017717149441165577
41	19033	0.001661544741629487
42	16872	0.0014728935470379187
43	15790	0.0013784370025917933
44	14292	0.0012476644484510392
45	13012	0.0011359228801598742
46	11854	0.0010348316800964609
47	10850	0.0009471843874680784
48	9915	0.0008655606637553914
49	9093	0.0007938016253684089
50	8470	0.0007394149089266934
51	7535	0.0006577911852140065
52	6926	0.0006046266421754756
53	6203	0.0005415101157110129
54	5673	0.0004952421225904525
55	5230	0.000456569064189682
56	4703	0.0004105629653698039
57	4318	0.00037695319678222693
58	3744	0.00032684408725165763
59	3622	0.000316193719023906
60	3145	0.0002745525252154015
61	2867	0.0002502836533521641
62	2682	0.00023413350481008168
63	2371	0.00020698379563933766
64	2128	0.00018577035728406182
65	1932	0.00016865992963947717
66	1757	0.00015338276209966945
67	1536	0.000134089881949398
68	1389	0.00012125706121595953
69	1243	0.00010851153858274851
70	1237	0.00010798774998138369
71	1045	9.122651473770893e-05
72	977	8.529024392224078e-05
73	947	8.26713009154166e-05
74	827	7.219552888811989e-05
75	749	6.538627707037702e-05
76	645	5.6307274646719865e-05
77	614	5.360103353966821e-05
78	532	4.6442589321015456e-05
79	446	3.8934952701452806e-05
80	390	3.4046259088714335e-05
81	386	3.369706668780445e-05
82	335	2.924486357620334e-05
83	306	2.6713218669606632e-05
84	287	2.5054554765284652e-05
85	250	2.1824525056868165e-05
86	221	1.929288015027146e-05
87	219	1.9118283949816512e-05
88	187	1.6324744742537386e-05
89	176	1.5364465640035187e-05
90	152	1.3269311234575844e-05
91	147	1.2832820733438482e-05
92	129	1.1261454929343973e-05
93	124	1.082496442820661e-05
94	103	8.991704323429683e-06
95	104	9.079002423657157e-06
96	95	8.293319521609903e-06
97	65	5.6743765147857226e-06
98	64	5.58707841455825e-06
99	67	5.848972715240668e-06
100	49	4.27760691114616e-06
101	42	3.666520209553852e-06
102	38	3.317327808643961e-06
103	33	2.8808373075065976e-06
104	41	3.579222109326379e-06
105	31	2.7062411070516527e-06
106	21	1.833260104776926e-06
107	19	1.6586639043219805e-06
108	16	1.3967696036395625e-06
109	28	2.4443468063692346e-06
110	10	8.729810022747266e-07
111	21	1.833260104776926e-06
112	12	1.047577202729672e-06
113	19	1.6586639043219805e-06
114	6	5.23788601364836e-07
115	8	6.983848018197812e-07
116	7	6.110867015923086e-07
117	13	1.1348753029571446e-06
118	12	1.047577202729672e-06
119	1	8.729810022747265e-08
120	8	6.983848018197812e-07
121	7	6.110867015923086e-07
122	2	1.745962004549453e-07
123	8	6.983848018197812e-07
124	5	4.364905011373633e-07
125	4	3.491924009098906e-07
126	2	1.745962004549453e-07
127	6	5.23788601364836e-07
131	1	8.729810022747265e-08
132	1	8.729810022747265e-08
134	2	1.745962004549453e-07
137	2	1.745962004549453e-07
138	4	3.491924009098906e-07
139	5	4.364905011373633e-07
140	3	2.61894300682418e-07
144	2	1.745962004549453e-07
148	2	1.745962004549453e-07
153	2	1.745962004549453e-07
