sample name :	CNTRL_171_s1_SNV
date of analysis :	31/08/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	121061334
total number of reads excluded due to non-common CIGAR:	875691
total number of SSCS consensus reads (read 1 and read 2 separate):	10282949
total number of unpaired SSCS reads:	40563
total number of SSCS pairs:	5121193

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3109115	0.21883794941855944
2	815321	0.057387126483867366
3	784645	0.055227967708343234
4	829578	0.05839061868176304
5	868343	0.06111912924158809
6	869734	0.06121703606962154
7	834261	0.058720235989944664
8	771509	0.054303378137496805
9	685289	0.04823470328987354
10	595896	0.041942693887721066
11	505469	0.03557790543439204
12	428112	0.03013306108055775
13	362839	0.025538760299661057
14	307683	0.021656553968235535
15	264595	0.01862376503487447
16	229837	0.01617729089484096
17	204382	0.014385617057607715
18	180820	0.012727183785052634
19	161082	0.01133790630717757
20	144936	0.010201455088322025
21	129523	0.009116596755842121
22	116922	0.008229663657316248
23	104644	0.007365465214041852
24	93964	0.00661374348622213
25	84388	0.005939727824648942
26	75866	0.0053398989328437285
27	69296	0.004877463375561371
28	61245	0.004310786256584164
29	54877	0.003862568657075176
30	49536	0.003486637407235744
31	43397	0.003054538185598546
32	39700	0.00279432140397406
33	35517	0.0024998970605780023
34	31731	0.002233415931221685
35	28490	0.0020052951334816366
36	25533	0.0017971639397397902
37	22779	0.0016033210897008845
38	20704	0.0014572702858407793
39	18262	0.0012853878458280676
40	16561	0.001165661379627567
41	14435	0.0010160208933593338
42	12842	0.0009038961075525158
43	11313	0.0007962760212382504
44	10200	0.0007179364816255772
45	9350	0.0006581084414901124
46	8348	0.000587581740059835
47	7238	0.0005094533582358752
48	6452	0.0004541300175929631
49	5646	0.0003973989583586283
50	5021	0.0003534077523766689
51	4451	0.0003132877725211219
52	4164	0.0002930870107342062
53	3479	0.0002448726489779787
54	3102	0.0002183371535296608
55	2927	0.0002060196158547122
56	2549	0.00017941373447682315
57	2251	0.00015843872746462492
58	1975	0.00013901221090299165
59	1713	0.00012057109735535427
60	1549	0.00010902780490568813
61	1409	9.917377476572923e-05
62	1209	8.509658885150223e-05
63	1080	7.601680393682581e-05
64	887	6.243231952959675e-05
65	913	6.426235369844627e-05
66	723	5.088902707993061e-05
67	690	4.856629140408316e-05
68	625	4.399120598195938e-05
69	549	3.864187533455312e-05
70	480	3.3785246194144806e-05
71	399	2.808398589888287e-05
72	374	2.6324337659604494e-05
73	314	2.2101181885336393e-05
74	250	1.7596482392783754e-05
75	257	1.8089183899781697e-05
76	238	1.6751851237930132e-05
77	207	1.4569887421224948e-05
78	140	9.854030139958902e-06
79	162	1.1402520590523872e-05
80	135	9.502100492103227e-06
81	128	9.00939898510528e-06
82	109	7.672066323253717e-06
83	83	5.842032154404206e-06
84	72	5.067786929121721e-06
85	69	4.856629140408316e-06
86	55	3.871226126412426e-06
87	51	3.5896824081278857e-06
88	52	3.6600683376990204e-06
89	40	2.8154371828454005e-06
90	30	2.1115778871340503e-06
91	29	2.041191957562915e-06
92	23	1.6188763801361052e-06
93	44	3.0969809011299406e-06
94	24	1.6892623097072404e-06
95	13	9.150170844247551e-07
96	23	1.6188763801361052e-06
97	6	4.223155774268101e-07
98	8	5.6308743656908e-07
99	13	9.150170844247551e-07
100	7	4.927015069979451e-07
101	9	6.334733661402151e-07
102	12	8.446311548536202e-07
103	6	4.223155774268101e-07
104	5	3.5192964785567506e-07
105	3	2.1115778871340505e-07
106	6	4.223155774268101e-07
107	4	2.8154371828454e-07
109	6	4.223155774268101e-07
110	2	1.4077185914227e-07
111	2	1.4077185914227e-07
113	6	4.223155774268101e-07
116	2	1.4077185914227e-07
117	1	7.0385929571135e-08
118	5	3.5192964785567506e-07
120	1	7.0385929571135e-08
121	1	7.0385929571135e-08
123	2	1.4077185914227e-07
126	2	1.4077185914227e-07
128	2	1.4077185914227e-07
133	2	1.4077185914227e-07
