sample name :	C92_050_s1_SNV
date of analysis :	12/09/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	120488044
total number of reads excluded due to non-common CIGAR:	743562
total number of SSCS consensus reads (read 1 and read 2 separate):	14861150
total number of unpaired SSCS reads:	87472
total number of SSCS pairs:	7386839

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	5341488	0.22578212345996296
2	3455072	0.14604422828752234
3	3086427	0.13046178180390242
4	2510862	0.10613292664421028
5	1910426	0.08075278630095643
6	1423122	0.060154681074372794
7	1069216	0.04519524501737489
8	829348	0.03505614026040559
9	662724	0.028013024083903302
10	543222	0.02296173213721869
11	453756	0.019180047434853163
12	382232	0.016156762425441853
13	321186	0.0135763774262175
14	272204	0.011505931892816337
15	230306	0.009734923625321301
16	192901	0.008153832302450236
17	163256	0.006900752439690908
18	136231	0.005758418714237346
19	113696	0.004805875124853589
20	95500	0.004036738974313237
21	80091	0.0033854079705939416
22	66622	0.0028160798319025807
23	55369	0.002340420945222509
24	46402	0.001961390176817621
25	38258	0.0016171472217725216
26	31684	0.0013392674100747705
27	26392	0.0011155771205243448
28	21329	0.0009015665506086599
29	17480	0.000738871175612517
30	14429	0.0006099068760247716
31	12035	0.0005087136497995791
32	9707	0.0004103102117660585
33	8153	0.00034462338070760017
34	6674	0.00028210676350331457
35	5425	0.00022931213545182523
36	4452	0.0001881838943836914
37	3630	0.00015343835054195862
38	3136	0.00013255720862247444
39	2466	0.00010423663152519834
40	1991	8.415861044877125e-05
41	1629	6.885704491263102e-05
42	1338	5.655661515844095e-05
43	1071	4.527065383758614e-05
44	880	3.7197175888959664e-05
45	747	3.157532998756008e-05
46	523	2.210695794309762e-05
47	530	2.2402844569487073e-05
48	423	1.7880006137534022e-05
49	325	1.3737593368081696e-05
50	225	9.510641562518096e-06
51	197	8.327095056960289e-06
52	163	6.889931443068665e-06
53	147	6.21361915417849e-06
54	130	5.495037347232678e-06
55	86	3.6351785527846948e-06
56	68	2.874327227783247e-06
57	53	2.2402844569487073e-06
58	44	1.8598587944479834e-06
59	40	1.6907807222254394e-06
60	35	1.4794331319472594e-06
61	26	1.0990074694465355e-06
62	27	1.1412769875021716e-06
63	16	6.763122888901757e-07
64	15	6.340427708345398e-07
65	8	3.3815614444508786e-07
66	2	8.453903611127196e-08
67	13	5.495037347232678e-07
68	8	3.3815614444508786e-07
69	4	1.6907807222254393e-07
70	8	3.3815614444508786e-07
71	9	3.8042566250072386e-07
72	5	2.1134759027817993e-07
73	3	1.2680855416690795e-07
74	2	8.453903611127196e-08
75	2	8.453903611127196e-08
76	2	8.453903611127196e-08
78	2	8.453903611127196e-08
79	2	8.453903611127196e-08
87	2	8.453903611127196e-08
