sample name :	CNTRL_168_s1_SNV
date of analysis :	14/09/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	97003124
total number of reads excluded due to non-common CIGAR:	613339
total number of SSCS consensus reads (read 1 and read 2 separate):	10007265
total number of unpaired SSCS reads:	61659
total number of SSCS pairs:	4972803

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3450733	0.2246074370536306
2	1905398	0.12402192848508234
3	1736162	0.11300639520064444
4	1467581	0.09552451814689929
5	1160040	0.07550674343094456
6	882066	0.057413478113823274
7	673161	0.04381589851618744
8	524968	0.034170049382311045
9	429740	0.02797168021965977
10	361837	0.02355188917866857
11	313840	0.020427775213240615
12	276148	0.01797441138664915
13	245487	0.015978693773173586
14	218926	0.014249844240166691
15	196009	0.012758181849898291
16	176005	0.011456125976314091
17	157504	0.010251900035643162
18	139684	0.00909200023224032
19	124883	0.008128606461748431
20	111664	0.007268184716452014
21	98386	0.0064039226743878765
22	87748	0.005711497640235271
23	77017	0.005013019256940327
24	68422	0.004453572634591988
25	60476	0.003936369276688566
26	52967	0.00344761015077656
27	46854	0.00304971635177535
28	41505	0.002701551141427325
29	36283	0.0023616523325962566
30	31827	0.0020716122919698225
31	27684	0.0018019453511450203
32	23955	0.0015592255774699811
33	20998	0.0013667551106539206
34	18182	0.001183462302214953
35	16004	0.001041696770687939
36	13734	0.0008939429797943111
37	12129	0.0007894738897571865
38	10472	0.0006816201313824105
39	9036	0.000588151213442653
40	8009	0.000521304013774038
41	6922	0.00045055142756197914
42	5803	0.0003777159685267502
43	5201	0.00033853192354086297
44	4532	0.00029498686358146335
45	3894	0.0002534595866695098
46	3237	0.00021069560401879898
47	2726	0.00017743472862380167
48	2473	0.00016096701536561317
49	2081	0.00013545182328177964
50	1800	0.00011716159630331731
51	1581	0.00010290693541974704
52	1303	8.481197776845692e-05
53	1217	7.921425705618732e-05
54	1001	6.515486549978924e-05
55	863	5.6172476449868244e-05
56	789	5.135583304628742e-05
57	612	3.9834942743127885e-05
58	514	3.3456144722169496e-05
59	463	3.0136566160242177e-05
60	420	2.7337705804107372e-05
61	371	2.414830679362818e-05
62	268	1.7444059894049465e-05
63	261	1.698843146398101e-05
64	231	1.5035738192259055e-05
65	175	1.1390710751711405e-05
66	150	9.763466358609776e-06
67	158	1.0284184564402298e-05
68	129	8.396581068404407e-06
69	111	7.2249651053712344e-06
70	93	6.053349142338061e-06
71	78	5.077002506477084e-06
72	82	5.337361609373344e-06
73	47	3.059219459031063e-06
74	29	1.88760349599789e-06
75	26	1.6923341688256944e-06
76	32	2.0828728231700857e-06
77	31	2.0177830474460204e-06
78	20	1.3017955144813034e-06
79	12	7.810773086887821e-07
80	19	1.2367057387572384e-06
81	13	8.461670844128472e-07
82	13	8.461670844128472e-07
83	4	2.603591028962607e-07
84	8	5.207182057925214e-07
85	11	7.159875329647169e-07
86	20	1.3017955144813034e-06
87	11	7.159875329647169e-07
88	7	4.5562843006845623e-07
89	1	6.508977572406518e-08
90	4	2.603591028962607e-07
91	5	3.2544887862032585e-07
92	7	4.5562843006845623e-07
95	3	1.9526932717219552e-07
96	6	3.9053865434439104e-07
97	2	1.3017955144813036e-07
104	2	1.3017955144813036e-07
