sample name :	CNTRL_182_s1_SNV
date of analysis :	09/09/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	120647121
total number of reads excluded due to non-common CIGAR:	790149
total number of SSCS consensus reads (read 1 and read 2 separate):	11955690
total number of unpaired SSCS reads:	69736
total number of SSCS pairs:	5942977

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3933610	0.21912001057049713
2	2062552	0.11489354970172437
3	1931018	0.1075665062301093
4	1674966	0.09330324247325568
5	1352891	0.07536219661347475
6	1044213	0.05816742473144275
7	803720	0.044770868209029355
8	632082	0.035209849100805865
9	517716	0.0288391414991612
10	436081	0.024291699820163402
11	380532	0.021197367268847803
12	336583	0.01874920760264735
13	300382	0.016732646860056554
14	271595	0.015129079718348837
15	246375	0.013724210738814023
16	221732	0.012351483289857782
17	199160	0.011094119982718217
18	180233	0.010039799793358367
19	161198	0.00897946351161986
20	144583	0.008053932262810544
21	129111	0.007192071325008696
22	115872	0.0064545986675915105
23	103137	0.005745201107941398
24	92340	0.005143758983752762
25	81648	0.004548165838265601
26	72077	0.0040150175034865485
27	63977	0.0035638105750871833
28	56369	0.0031400102897461498
29	50676	0.0028228842350081764
30	44116	0.0024574623275637523
31	38796	0.002161114073355774
32	34567	0.0019255394930840562
33	30559	0.0017022756203649628
34	26709	0.0014878130679776102
35	23727	0.00132170207285577
36	20371	0.0011347575726448726
37	17514	0.0009756096474057384
38	15730	0.0008762327140397547
39	13310	0.0007414276811105617
40	11661	0.0006495708632179008
41	10500	0.0005848978701473252
42	8820	0.0004913142109237531
43	7778	0.00043327006038151384
44	6728	0.0003747802733667813
45	6077	0.00033851660541764714
46	5125	0.00028548586519095635
47	4550	0.0002534557437305076
48	3967	0.00022097998579756562
49	3263	0.00018176397621816402
50	2952	0.00016443985834999086
51	2604	0.00014505467179653665
52	2270	0.00012644934906994555
53	1838	0.00010238497955531273
54	1671	9.308231819201718e-05
55	1445	8.049308784408428e-05
56	1181	6.578708425180867e-05
57	991	5.5203218030095165e-05
58	911	5.074685330516317e-05
59	712	3.9661646051894814e-05
60	665	3.7043531775997264e-05
61	530	2.952341630267451e-05
62	500	2.7852279530825008e-05
63	454	2.528986981398911e-05
64	337	1.8772436403776058e-05
65	308	1.7157004190988206e-05
66	284	1.5820094773508605e-05
67	276	1.5374458301015406e-05
68	204	1.1363730048576604e-05
69	183	1.0193934308281953e-05
70	206	1.1475139166699904e-05
71	136	7.575820032384402e-06
72	114	6.350319733028102e-06
73	102	5.681865024288302e-06
74	87	4.846296638363551e-06
75	83	4.623478402116952e-06
76	75	4.177841929623752e-06
77	61	3.397978102760651e-06
78	47	2.618114275897551e-06
79	41	2.283886921527651e-06
80	33	1.8382504490344505e-06
81	32	1.7825458899728006e-06
82	16	8.912729449864003e-07
83	22	1.2255002993563005e-06
84	25	1.3926139765412506e-06
85	17	9.469775040480503e-07
86	21	1.1697957402946504e-06
87	13	7.241592678014502e-07
88	16	8.912729449864003e-07
89	14	7.798638268631002e-07
90	12	6.684547087398002e-07
91	8	4.4563647249320015e-07
92	10	5.570455906165001e-07
93	7	3.899319134315501e-07
94	5	2.7852279530825007e-07
95	8	4.4563647249320015e-07
96	5	2.7852279530825007e-07
98	3	1.6711367718495006e-07
99	2	1.1140911812330004e-07
100	3	1.6711367718495006e-07
101	1	5.570455906165002e-08
102	4	2.2281823624660008e-07
103	1	5.570455906165002e-08
104	1	5.570455906165002e-08
111	2	1.1140911812330004e-07
113	2	1.1140911812330004e-07
115	2	1.1140911812330004e-07
120	1	5.570455906165002e-08
123	1	5.570455906165002e-08
