sample name :	CNTRL_164_s1_SNV
date of analysis :	14/09/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	84998294
total number of reads excluded due to non-common CIGAR:	519813
total number of SSCS consensus reads (read 1 and read 2 separate):	9871008
total number of unpaired SSCS reads:	65940
total number of SSCS pairs:	4902534

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3781891	0.2364167415883037
2	2343815	0.14651852874284055
3	2027234	0.12672815179417474
4	1608398	0.1005455245371018
5	1201620	0.07511667708755686
6	885864	0.05537787323071476
7	665637	0.04161085833002953
8	523710	0.0327385986897059
9	426471	0.026659912779587108
10	359991	0.022504059271172817
11	307063	0.019195379751116386
12	263590	0.016477759119779226
13	229646	0.014355823327215828
14	198896	0.012433553541058495
15	171077	0.010694508884762208
16	147566	0.00922476953704367
17	127740	0.007985389999471142
18	109716	0.0068586585970093605
19	92904	0.0058076927548995376
20	80241	0.0050160926800341624
21	68875	0.004305571756799553
22	59141	0.003697071786118074
23	49927	0.0031210784914951907
24	42190	0.0026374166594464337
25	35213	0.002201264584714086
26	30261	0.0018917010080945374
27	25323	0.0015830126112150282
28	21440	0.0013402752590313237
29	17731	0.0011084151407595336
30	15343	0.0009591344822442909
31	13012	0.000813417055527779
32	10700	0.0006688873727441774
33	9141	0.0005714298574069649
34	7609	0.00047566018871125656
35	6329	0.0003956437553362522
36	5228	0.0003268171200660336
37	4259	0.00026624217948761225
38	3841	0.0002401118129635874
39	2981	0.00018635077178975632
40	2487	0.00015546942953409057
41	2163	0.0001352152698360426
42	1716	0.00010727203099336526
43	1537	9.60822328885795e-05
44	1209	7.557802183623462e-05
45	950	5.938719664551107e-05
46	829	5.182314317803019e-05
47	707	4.419657687197508e-05
48	604	3.77577544988302e-05
49	512	3.200657335000176e-05
50	450	2.813077735839998e-05
51	329	2.0566723890919097e-05
52	280	1.750359480078221e-05
53	211	1.319020893916088e-05
54	191	1.1939952167676436e-05
55	155	9.689489979004439e-06
56	122	7.626566306055106e-06
57	96	6.00123250312533e-06
58	86	5.376104117383108e-06
59	81	5.063539924511997e-06
60	61	3.813283153027553e-06
61	46	2.8755905744142202e-06
62	54	3.3756932830079977e-06
63	36	2.2504621886719986e-06
64	34	2.125436511523554e-06
65	23	1.4377952872071101e-06
66	24	1.5003081257813324e-06
67	19	1.1877439329102214e-06
68	17	1.062718255761777e-06
69	7	4.375898700195553e-07
70	6	3.750770314453331e-07
71	10	6.251283857422218e-07
72	4	2.5005135429688873e-07
73	6	3.750770314453331e-07
74	3	1.8753851572266655e-07
75	8	5.001027085937775e-07
76	3	1.8753851572266655e-07
79	2	1.2502567714844437e-07
80	6	3.750770314453331e-07
82	2	1.2502567714844437e-07
83	2	1.2502567714844437e-07
84	4	2.5005135429688873e-07
86	2	1.2502567714844437e-07
90	2	1.2502567714844437e-07
91	2	1.2502567714844437e-07
112	2	1.2502567714844437e-07
