sample name :	CNTRL_001_s4_SNV
date of analysis :	12/09/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	172614021
total number of reads excluded due to non-common CIGAR:	1108208
total number of SSCS consensus reads (read 1 and read 2 separate):	15339392
total number of unpaired SSCS reads:	82512
total number of SSCS pairs:	7628440

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	4460511	0.2053710816774501
2	1919372	0.08837182640764943
3	1933850	0.08903842324386979
4	1861580	0.08571096410906902
5	1656138	0.07625199275758514
6	1375431	0.06332766632403707
7	1102326	0.0507533515736598
8	876214	0.040342690996821945
9	704115	0.03241889980213428
10	580297	0.026718064944617165
11	496966	0.02288133466701812
12	436103	0.020079077225183622
13	389435	0.017930386718709532
14	351946	0.016204316212212425
15	321483	0.014801737166641151
16	294870	0.013576420023228215
17	270536	0.012456032717482513
18	246754	0.01136106062472159
19	226876	0.01044583670495447
20	208044	0.009578772772111409
21	191070	0.008797254972829434
22	174034	0.008012882566291922
23	159532	0.007345180720811353
24	144346	0.00664598611141486
25	131375	0.006048774648325048
26	120463	0.005546363771350563
27	108462	0.004993813099194149
28	98283	0.004525151046708511
29	89748	0.004132182128547109
30	80937	0.0037265056038933157
31	73942	0.0034044414465952476
32	65655	0.0030228909574559924
33	59192	0.0027253211720925305
34	53929	0.0024830018497394597
35	48522	0.0022340524718251413
36	43565	0.00200582201753972
37	38988	0.0017950875432075886
38	34839	0.0016040590673491633
39	31027	0.0014285467631861561
40	27880	0.0012836524239414069
41	25385	0.0011687775029323032
42	22392	0.0010309736397738874
43	19873	0.000914993709504576
44	18261	0.0008407739208606181
45	16255	0.0007484135635282486
46	14287	0.0006578028041912081
47	12795	0.0005891080618482892
48	11521	0.0005304504869522578
49	10164	0.00046797142169800786
50	9104	0.00041916684603882955
51	7992	0.000367968083649201
52	7239	0.0003332984181101809
53	6286	0.00028942034206942913
54	5577	0.00025677652684079
55	5040	0.00023205194464364027
56	4360	0.0002007433489377523
57	3914	0.00018020859351889048
58	3363	0.0001548394225866195
59	3154	0.0001452166336123098
60	2739	0.0001261091818212164
61	2406	0.00011077717833583304
62	2027	9.332724043505135e-05
63	1829	8.421091403833692e-05
64	1683	7.748877437207273e-05
65	1426	6.565596687734743e-05
66	1302	5.994675236627374e-05
67	1207	5.557275737795115e-05
68	1057	4.8666449501652335e-05
69	869	4.0010543630024485e-05
70	852	3.922782873737728e-05
71	764	3.517612811661531e-05
72	641	2.951295565805028e-05
73	572	2.6336054034952826e-05
74	503	2.3159152411855366e-05
75	422	1.9429746158654008e-05
76	355	1.6344928640573867e-05
77	346	1.593055016799594e-05
78	322	1.4825540907788129e-05
79	269	1.2385312124829213e-05
80	229	1.0543630024482861e-05
81	231	1.063571412950018e-05
82	215	9.899041289361639e-06
83	160	7.366728401385405e-06
84	138	6.353803246194912e-06
85	96	4.420037040831243e-06
86	92	4.235868830796608e-06
87	107	4.92649961842649e-06
88	58	2.6704390455022096e-06
89	72	3.3150277806234323e-06
90	82	3.7754483057100204e-06
91	75	3.453153938149409e-06
92	68	3.1308595705887972e-06
93	58	2.6704390455022096e-06
94	32	1.473345680277081e-06
95	35	1.6114718378030575e-06
96	29	1.3352195227511048e-06
97	40	1.8416821003463513e-06
98	20	9.208410501731757e-07
99	36	1.6575138903117162e-06
100	31	1.4273036277684224e-06
101	14	6.44588735121223e-07
102	18	8.287569451558581e-07
103	13	5.985466826125642e-07
104	25	1.1510513127164697e-06
105	11	5.064625775952466e-07
106	14	6.44588735121223e-07
107	15	6.906307876298817e-07
108	14	6.44588735121223e-07
109	7	3.222943675606115e-07
110	11	5.064625775952466e-07
111	5	2.302102625432939e-07
112	3	1.3812615752597635e-07
113	4	1.8416821003463513e-07
115	2	9.208410501731757e-08
116	6	2.762523150519527e-07
117	3	1.3812615752597635e-07
118	5	2.302102625432939e-07
119	1	4.604205250865878e-08
120	1	4.604205250865878e-08
121	2	9.208410501731757e-08
126	2	9.208410501731757e-08
127	2	9.208410501731757e-08
130	2	9.208410501731757e-08
131	2	9.208410501731757e-08
